Age,Year,Salaries,Rentals,RSUs,P.Pension,S.Pension,DBI,Tax Free,Index Funds,Shares,Cash,P.Contrib,IT,PRSI,USC,CGT,Inflows,Outflows,Pension,Cash,R.Estate,Index Funds,Shares,Withdraw%,Net Worth
61,2056,"€171,629",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€13,944","€11,536","€7,208","€2,976","€1,497","€134,467","€100,003","€505,685","€50,002","€746,175","€90,373","€91,941",0%,"€1,484,175"
62,2057,"€176,805",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€14,432","€11,874","€7,426","€3,072","€1,720","€138,281","€103,003","€549,010","€51,502","€768,560","€113,588","€114,346",0%,"€1,597,005"
63,2058,"€182,145",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€14,937","€12,223","€7,650","€3,171","€1,683","€142,481","€106,093","€595,132","€53,047","€791,617","€138,960","€138,628",0%,"€1,717,383"
64,2059,"€187,655",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€15,460","€12,584","€7,881","€3,273","€1,799","€146,657","€109,276","€644,214","€54,638","€815,365","€166,582","€164,840",0%,"€1,845,639"
65,2060,€0,€0,€0,"€20,293",€0,€0,€0,"€101,998",€0,€0,€0,€0,€0,€0,"€9,736","€112,554","€112,554","€487,025","€56,277","€787,881","€185,951","€284,436",14.6%,"€1,801,571"
66,2061,€0,€0,€0,"€20,455","€43,555",€0,€0,"€58,858",€0,€0,€0,€0,€0,€0,"€5,250","€117,619","€115,931","€490,922","€57,965","€811,518","€140,109","€301,503",8%,"€1,802,017"
67,2062,€0,€0,€0,"€20,619","€44,862",€0,€0,"€59,085",€0,€0,€0,€0,€0,€0,"€3,418","€121,148","€119,409","€494,849","€59,704","€835,863","€90,831","€319,593",8.3%,"€1,800,841"
68,2063,€0,€0,€0,"€20,784","€89,378",€0,€0,"€15,718",€0,€0,€0,€0,€0,€0,"€1,097","€124,782","€122,991","€498,808","€61,495","€860,939","€81,471","€338,768",3.9%,"€1,841,482"
69,2064,€0,€0,€0,"€20,950","€92,059",€0,€0,"€17,054",€0,€0,€0,€0,€0,€0,"€1,537","€128,526","€126,681","€502,798","€63,340","€886,768","€70,121","€359,095",4%,"€1,882,121"
70,2065,€0,€0,€0,"€21,118","€94,821",€0,€0,"€18,456",€0,€0,€0,€0,€0,€0,"€2,013","€132,382","€130,482","€506,821","€65,241","€913,371","€56,573","€380,640",4.1%,"€1,922,645"
71,2066,€0,€0,€0,"€23,024","€97,666",€0,€0,"€17,059",€0,€0,€0,€0,€0,€0,"€1,395","€136,353","€134,396","€437,453","€67,197","€940,772","€34,341","€345,835",4.8%,"€1,825,598"
72,2067,€0,€0,€0,"€19,873","€100,596",€0,€0,"€21,067",€0,€0,€0,€0,€0,€0,"€1,091","€140,444","€138,428","€377,580","€69,214","€968,995","€10,134","€314,212",5.7%,"€1,740,134"
73,2068,€0,€0,€0,"€17,153","€103,613",€0,€0,"€9,207","€16,810",€0,€0,€0,€0,€0,"€2,126","€144,657","€142,581","€325,902","€71,290","€998,065",€0,"€268,670",7%,"€1,663,927"
74,2069,€0,€0,€0,"€17,110","€106,722",€0,€0,€0,"€28,130",€0,€0,€0,€0,€0,"€2,964","€148,997","€146,858","€325,087","€73,429","€1,028,007",€0,"€256,661",7.4%,"€1,683,183"
75,2070,€0,€0,€0,"€17,067","€109,923",€0,€0,€0,"€29,170",€0,€0,€0,€0,€0,"€2,694","€153,466","€151,264","€324,274","€75,631","€1,058,847",€0,"€242,891",7.8%,"€1,701,643"
76,2071,€0,€0,€0,"€17,024","€113,221",€0,€0,€0,"€30,210",€0,€0,€0,€0,€0,"€2,384","€158,071","€155,802","€323,463","€77,900","€1,090,612",€0,"€227,254",8.1%,"€1,719,231"
77,2072,€0,€0,€0,"€16,982","€116,618",€0,€0,€0,"€31,380",€0,€0,€0,€0,€0,"€2,167","€162,813","€160,476","€322,655","€80,238","€1,123,331",€0,"€209,510",8.6%,"€1,735,732"
78,2073,€0,€0,€0,"€16,939","€120,116",€0,€0,€0,"€32,851",€0,€0,€0,€0,€0,"€2,210","€167,697","€165,290","€321,848","€82,645","€1,157,031",€0,"€189,229",9.2%,"€1,750,752"
79,2074,€0,€0,€0,"€16,897","€123,720",€0,€0,€0,"€34,369",€0,€0,€0,€0,€0,"€2,258","€172,728","€170,249","€321,043","€85,124","€1,191,741",€0,"€166,213",9.8%,"€1,764,122"
80,2075,€0,€0,€0,"€16,855","€129,711",€0,€0,€0,"€33,352",€0,€0,€0,€0,€0,"€2,007","€177,910","€175,356","€320,241","€87,678","€1,227,494",€0,"€142,835",10.1%,"€1,778,247"
81,2076,€0,€0,€0,"€16,813","€133,602",€0,€0,€0,"€35,308",€0,€0,€0,€0,€0,"€2,476","€183,247","€180,617","€319,440","€90,308","€1,264,318",€0,"€116,097",11.1%,"€1,790,164"
82,2077,€0,€0,€0,"€16,771","€140,029",€0,€0,€0,"€34,693",€0,€0,€0,€0,€0,"€2,748","€188,744","€186,035","€318,642","€93,017","€1,302,248",€0,"€88,370",11.7%,"€1,802,277"
83,2078,€0,€0,€0,"€16,729","€144,230",€0,€0,€0,"€36,834",€0,€0,€0,€0,€0,"€3,385","€194,408","€191,616","€317,845","€95,808","€1,341,315",€0,"€56,838",13%,"€1,811,807"
84,2079,€0,€0,€0,"€16,687","€148,557",€0,€0,€0,"€39,051",€0,€0,€0,€0,€0,"€4,055","€200,239","€197,365","€317,050","€98,682","€1,381,555",€0,"€21,198",14.8%,"€1,818,485"
85,2080,€0,€0,€0,"€32,377","€153,013",€0,€0,€0,"€22,470",€0,€0,€0,€0,€0,"€1,614","€206,247","€203,286","€300,526","€101,643","€1,423,002",€0,€0,16.2%,"€1,825,170"
86,2081,€0,€0,€0,"€54,830","€157,604",€0,€0,€0,€0,€0,€0,€0,€0,€0,€0,"€212,434","€209,385","€260,722","€104,692","€1,465,692",€0,€0,18.3%,"€1,831,106"
87,2082,€0,€0,€0,"€56,475","€162,332",€0,€0,€0,€0,€0,€0,€0,€0,€0,€0,"€218,807","€215,666","€217,283","€107,833","€1,509,662",€0,€0,21.7%,"€1,834,778"
88,2083,€0,€0,€0,"€58,169","€167,202",€0,€0,€0,€0,€0,€0,€0,€0,€0,€0,"€225,371","€222,136","€169,978","€111,068","€1,554,952",€0,€0,26.8%,"€1,835,998"
89,2084,€0,€0,€0,"€59,914","€172,218",€0,€0,€0,€0,€0,€0,€0,€0,€0,€0,"€232,132","€228,800","€118,562","€114,400","€1,601,601",€0,€0,35.3%,"€1,834,563"
90,2085,€0,€0,€0,"€61,712","€177,384",€0,€0,€0,€0,€0,€0,€0,€0,€0,€0,"€239,096","€235,664","€62,779","€117,832","€1,649,649",€0,€0,52.2%,"€1,830,260"
