Age,Year,Salaries,Rentals,RSUs,P.Pension,S.Pension,DBI,Tax Free,Index Funds,Shares,Cash,P.Contrib,IT,PRSI,USC,CGT,Inflows,Outflows,Pension,Cash,R.Estate,Index Funds,Shares,Withdraw%,Net Worth
40,2035,"€92,994",€0,€0,€0,€0,€0,€0,€0,"€1,366",€0,"€4,232","€7,001","€3,906","€1,554",€0,"€77,667","€76,884","€60,935","€26,878","€121,934",€0,"€39,659",1.3%,"€249,407"
41,2036,"€95,700",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€4,380","€7,190","€4,019","€1,602",€0,"€78,509","€78,356","€70,114","€27,184","€139,903",€0,"€42,039",0%,"€279,239"
42,2037,"€98,490",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€4,533","€7,385","€4,137","€1,651",€0,"€80,784","€79,865","€79,966","€29,021","€158,840",€0,"€44,561",0%,"€312,388"
43,2038,"€101,366",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€4,692","€7,587","€4,257","€1,702",€0,"€83,128","€81,412","€90,533","€29,371","€178,788",€684,"€47,918",0%,"€347,293"
44,2039,"€104,332",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€4,856","€7,794","€4,382","€1,755",€0,"€85,545","€82,997","€101,858","€30,252","€199,789","€1,565","€51,627",0%,"€385,091"
45,2040,"€107,390",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€5,026","€8,009","€4,510","€1,809",€0,"€88,035","€84,622","€113,987","€31,159","€221,890","€2,927","€55,977",0%,"€425,941"
46,2041,"€110,543",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€5,202","€8,231","€4,643","€1,866",€0,"€90,602","€86,287","€126,969","€32,094","€245,137","€4,822","€61,026",0%,"€470,049"
47,2042,"€113,794",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€5,384","€8,459","€4,779","€1,924",€0,"€93,248","€87,994","€140,856","€33,057","€269,579","€7,305","€66,833",0%,"€517,629"
48,2043,"€117,147",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€5,572","€8,695","€4,920","€1,984",€0,"€95,975","€89,744","€155,700","€34,049","€295,266","€10,436","€73,462",0%,"€568,913"
49,2044,"€120,604",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€5,768","€8,939","€5,065","€2,046",€0,"€98,786","€91,538","€171,559","€35,070","€322,253","€14,280","€80,983",0%,"€624,146"
50,2045,"€124,170",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€7,163","€8,952","€5,215","€2,110",€0,"€100,729","€93,376","€189,688","€36,122","€350,593","€18,430","€88,993",0%,"€683,826"
51,2046,"€127,847",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€7,414","€9,204","€5,370","€2,176",€187,"€103,496","€95,261","€209,058","€37,206","€380,343","€23,296","€97,908",0%,"€747,811"
52,2047,"€131,640",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€7,673","€9,464","€5,529","€2,245",€227,"€106,501","€97,192","€229,742","€38,322","€411,563","€29,023","€107,879",0%,"€816,529"
53,2048,"€135,552",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€7,942","€9,733","€5,693","€2,316",€342,"€109,525","€88,584","€251,818","€39,472","€444,313","€40,950","€124,247",0%,"€900,801"
54,2049,"€139,586",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€8,220","€10,011","€5,863","€2,389",€461,"€112,642","€90,349","€275,369","€40,656","€478,659","€54,371","€142,257",0%,"€991,312"
55,2050,"€143,748",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€9,926","€10,014","€6,037","€2,465",€585,"€114,720","€92,158","€301,899","€41,876","€514,665","€68,849","€161,464",0%,"€1,088,752"
56,2051,"€148,041",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€10,273","€10,301","€6,218","€2,543",€715,"€117,991","€94,012","€330,203","€43,132","€552,400","€85,030","€182,513",0%,"€1,193,278"
57,2052,"€152,469",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€10,633","€10,597","€6,404","€2,624",€850,"€121,362","€95,912","€360,383","€44,426","€591,937","€103,060","€205,542",0%,"€1,305,348"
58,2053,"€157,038",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€11,005","€10,903","€6,596","€2,708",€860,"€124,967","€97,860","€392,551","€45,759","€633,349","€123,161","€230,762",0%,"€1,425,581"
59,2054,"€161,750",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€11,390","€11,220","€6,794","€2,794","€1,297","€128,257","€99,856","€426,823","€47,131","€676,712","€145,296","€258,121",0%,"€1,554,084"
60,2055,"€166,613",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€13,473","€11,210","€6,998","€2,884","€1,509","€130,540","€101,903","€465,005","€48,545","€722,108","€169,079","€287,220",0%,"€1,691,957"
61,2056,"€171,629",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€13,944","€11,536","€7,208","€2,976","€3,288","€132,676","€86,000","€505,685","€50,002","€743,771","€203,524","€327,063",0%,"€1,830,044"
62,2057,"€176,805",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€14,432","€11,874","€7,426","€3,072","€3,673","€136,328","€88,150","€549,010","€51,502","€766,084","€241,109","€370,025",0%,"€1,977,730"
63,2058,"€182,145",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€14,937","€12,223","€7,650","€3,171","€3,918","€140,245","€90,354","€595,132","€53,047","€789,067","€282,160","€416,400",0%,"€2,135,806"
64,2059,"€187,655",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€15,460","€12,584","€7,881","€3,273","€4,329","€144,127","€92,613","€644,214","€54,638","€812,739","€326,873","€466,346",0%,"€2,304,809"
65,2060,€0,€0,€0,"€20,293",€0,€0,€0,"€86,559",€0,€0,€0,€0,€0,€0,"€11,923","€94,928","€94,928","€487,025","€56,277","€664,497","€433,241","€664,372",8%,"€2,305,413"
66,2061,€0,€0,€0,"€20,455","€43,555",€0,€0,"€42,160",€0,€0,€0,€0,€0,€0,"€7,181","€98,990","€97,301","€490,922","€57,965","€684,432","€421,408","€704,234",3.8%,"€2,358,961"
67,2062,€0,€0,€0,"€20,619","€44,862",€0,€0,"€42,709",€0,€0,€0,€0,€0,€0,"€6,717","€101,473","€99,734","€494,849","€59,704","€704,965","€408,197","€746,488",3.7%,"€2,414,204"
68,2063,€0,€0,€0,"€20,784","€89,378",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€3,715","€106,447","€102,227","€498,808","€61,496","€726,114","€437,985","€792,491",1.2%,"€2,516,894"
69,2064,€0,€0,€0,"€20,950","€92,059",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€6,170","€106,839","€104,783","€502,798","€63,341","€747,898","€468,749","€840,146",1.2%,"€2,622,932"
70,2065,€0,€0,€0,"€21,118","€94,821",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€6,369","€109,569","€107,403","€506,821","€65,241","€770,335","€501,695","€890,688",1.1%,"€2,734,779"
71,2066,€0,€0,€0,"€23,024","€97,666",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€4,216","€116,474","€110,088","€437,453","€67,198","€793,445","€458,034","€811,458",1.4%,"€2,567,589"
72,2067,€0,€0,€0,"€19,873","€100,596",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€2,265","€118,203","€112,840","€377,580","€69,214","€817,248","€417,825","€738,932",1.3%,"€2,420,800"
73,2068,€0,€0,€0,"€17,153","€103,613",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€3,627","€117,139","€115,661","€325,902","€72,170","€841,765","€379,620","€671,364",1.2%,"€2,290,822"
74,2069,€0,€0,€0,"€17,110","€106,722",€0,€0,€0,€0,€0,€0,€0,€0,€0,€437,"€123,395","€118,552","€325,087","€73,429","€867,018","€407,985","€713,438",1.2%,"€2,386,958"
75,2070,€0,€0,€0,"€17,067","€109,923",€0,€0,€0,€0,€0,€0,€0,€0,€0,€458,"€126,532","€121,516","€324,274","€75,632","€893,029","€437,951","€757,651",1.1%,"€2,488,537"
76,2071,€0,€0,€0,"€17,024","€113,221",€0,€0,€0,€0,€0,€0,€0,€0,€0,€485,"€129,760","€124,554","€323,463","€77,901","€919,820","€470,076","€804,579",1.1%,"€2,595,839"
77,2072,€0,€0,€0,"€16,982","€116,618",€0,€0,€0,€0,€0,€0,€0,€0,€0,€768,"€132,831","€127,668","€322,655","€80,238","€947,414","€504,394","€854,267",1%,"€2,708,968"
78,2073,€0,€0,€0,"€16,939","€120,116",€0,€0,€0,€0,€0,€0,€0,€0,€0,€794,"€136,262","€130,860","€321,848","€82,645","€975,837","€541,199","€907,020",1%,"€2,828,550"
79,2074,€0,€0,€0,"€16,897","€123,720",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€3,402","€137,215","€134,131","€321,043","€85,124","€1,005,112","€579,386","€961,744",0.9%,"€2,952,410"
80,2075,€0,€0,€0,"€16,855","€129,711",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€5,685","€140,881","€137,484","€320,241","€87,678","€1,035,265","€620,364","€1,019,870",0.9%,"€3,083,419"
81,2076,€0,€0,€0,"€16,813","€133,602",€0,€0,"€49,425",€0,€0,€0,€0,€0,€0,"€56,288","€143,552","€140,921","€319,440","€90,308","€1,066,323","€614,365","€1,081,062",3.2%,"€3,171,499"
82,2077,€0,€0,€0,"€16,771","€140,029",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€2,688","€154,111","€144,444","€318,642","€93,018","€1,098,313","€660,849","€1,149,405",0.8%,"€3,320,226"
83,2078,€0,€0,€0,"€16,729","€144,230",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€7,050","€153,909","€148,056","€317,845","€95,808","€1,131,262","€708,640","€1,219,900",0.7%,"€3,473,456"
84,2079,€0,€0,€0,"€16,687","€148,557",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€7,463","€157,780","€151,757","€317,050","€98,682","€1,165,200","€759,819","€1,294,669",0.7%,"€3,635,421"
85,2080,€0,€0,€0,"€16,645","€153,013",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€11,568","€158,090","€155,551","€316,258","€103,761","€1,200,156","€813,006","€1,372,349",0.7%,"€3,805,531"
86,2081,€0,€0,€0,"€16,604","€157,604",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€11,959","€162,248","€159,440","€315,467","€104,692","€1,236,161","€870,856","€1,455,629",0.6%,"€3,982,805"
87,2082,€0,€0,€0,"€16,562","€162,332",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€12,755","€166,139","€163,426","€314,679","€110,119","€1,273,246","€931,816","€1,542,966",0.6%,"€4,172,825"
88,2083,€0,€0,€0,"€16,521","€167,202",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€13,094","€170,629","€167,511","€313,892","€111,068","€1,311,443","€998,127","€1,636,629",0.6%,"€4,371,158"
89,2084,€0,€0,€0,"€16,479","€172,218",€0,€0,"€80,825",€0,€0,€0,€0,€0,€0,"€94,492","€175,031","€171,699","€313,107","€114,400","€1,350,787","€987,170","€1,734,826",3.1%,"€4,500,290"
90,2085,€0,€0,€0,"€16,438","€177,384",€0,€0,€0,€0,€0,€0,€0,€0,€0,"€1,790","€192,033","€175,992","€312,324","€117,832","€1,391,310","€1,062,577","€1,845,220",0.5%,"€4,729,264"
