Age,Year,Salaries,P.Pension,S.Pension,Index Funds,Shares,Cash,P.Contrib,IT,PRSI,USC,CGT,Inflows,Outflows,Pension,Cash,R.Estate,Index Funds,Shares,Withdraw%,Net Worth
51,2047,127847,0,0,0,0,0,7414,9204,5370,2176,0,103683,103574,209058,36341,416430,0,2606,0,664435
52,2048,131640,0,0,0,0,0,7673,9464,5529,2245,0,106728,106141,229742,37516,446442,0,2762,0,716462
53,2049,135552,0,0,0,0,0,7942,9733,5693,2316,0,109867,96943,251818,39472,477429,5484,8412,0,782615
54,2050,139586,0,0,0,0,0,8220,10011,5863,2389,0,113104,99312,275369,40656,509422,12172,15221,0,852839
55,2051,143748,0,0,0,0,0,9926,10014,6037,2465,0,115306,101751,301899,41876,542455,19191,22301,0,927722
56,2052,148041,0,0,0,0,0,10273,10301,6218,2543,0,118706,104264,330203,43132,576561,27128,30233,0,1007255
57,2053,152469,0,0,0,0,0,10633,10597,6404,2624,0,122212,106852,360383,44426,611776,36060,39080,0,1091724
58,2054,157038,0,0,0,0,0,11005,10903,6596,2708,0,125826,109517,392551,45759,648136,46072,48913,0,1181430
59,2055,161750,0,0,0,0,0,11390,11220,6794,2794,0,129553,112263,426823,47131,685678,57256,59807,0,1276695
60,2056,166613,0,0,0,0,0,13473,11210,6998,2884,0,132049,115090,465005,48545,724441,69036,71167,0,1378195
61,2057,171629,0,0,0,0,0,13944,11536,7208,2976,1497,134467,100003,505685,50002,746175,90373,91941,0,1484175
62,2058,176805,0,0,0,0,0,14432,11874,7426,3072,1720,138281,103003,549010,51502,768560,113588,114346,0,1597005
63,2059,182145,0,0,0,0,0,14937,12223,7650,3171,1683,142481,106093,595132,53047,791617,138960,138628,0,1717383
64,2060,187655,0,0,0,0,0,15460,12584,7881,3273,1799,146657,109276,644214,54638,815365,166582,164840,0,1845639
65,2061,0,20293,0,101998,0,0,0,0,0,0,9736,112554,112554,487025,56277,787881,185951,284436,0.146,1801571
66,2062,0,20455,43555,58858,0,0,0,0,0,0,5250,117619,115931,490922,57965,811518,140109,301503,0.08,1802017
67,2063,0,20619,44862,59085,0,0,0,0,0,0,3418,121148,119409,494849,59704,835863,90831,319593,0.083,1800841
68,2064,0,20784,89378,15718,0,0,0,0,0,0,1097,124782,122991,498808,61495,860939,81471,338768,0.039,1841482
69,2065,0,20950,92059,17054,0,0,0,0,0,0,1537,128526,126681,502798,63340,886768,70121,359095,0.04,1882121
70,2066,0,21118,94821,18456,0,0,0,0,0,0,2013,132382,130482,506821,65241,913371,56573,380640,0.041,1922645
71,2067,0,23024,97666,17059,0,0,0,0,0,0,1395,136353,134396,437453,67197,940772,34341,345835,0.048,1825598
72,2068,0,19873,100596,21067,0,0,0,0,0,0,1091,140444,138428,377580,69214,968995,10134,314212,0.057,1740134
73,2069,0,17153,103613,9207,16810,0,0,0,0,0,2126,144657,142581,325902,71290,998065,0,268670,0.07,1663927
74,2070,0,17110,106722,0,28130,0,0,0,0,0,2964,148997,146858,325087,73429,1028007,0,256661,0.074,1683183
75,2071,0,17067,109923,0,29170,0,0,0,0,0,2694,153466,151264,324274,75631,1058847,0,242891,0.078,1701643
76,2072,0,17024,113221,0,30210,0,0,0,0,0,2384,158071,155802,323463,77900,1090612,0,227254,0.081,1719231
77,2073,0,16982,116618,0,31380,0,0,0,0,0,2167,162813,160476,322655,80238,1123331,0,209510,0.086,1735732
78,2074,0,16939,120116,0,32851,0,0,0,0,0,2210,167697,165290,321848,82645,1157031,0,189229,0.092,1750752
79,2075,0,16897,123720,0,34369,0,0,0,0,0,2258,172728,170249,321043,85124,1191741,0,166213,0.098,1764122
80,2076,0,16855,129711,0,33352,0,0,0,0,0,2007,177910,175356,320241,87678,1227494,0,142835,0.101,1778247
81,2077,0,16813,133602,0,35308,0,0,0,0,0,2476,183247,180617,319440,90308,1264318,0,116097,0.111,1790164
82,2078,0,16771,140029,0,34693,0,0,0,0,0,2748,188744,186035,318642,93017,1302248,0,88370,0.117,1802277
83,2079,0,16729,144230,0,36834,0,0,0,0,0,3385,194408,191616,317845,95808,1341315,0,56838,0.13,1811807
84,2080,0,16687,148557,0,39051,0,0,0,0,0,4055,200239,197365,317050,98682,1381555,0,21198,0.148,1818485
85,2081,0,32377,153013,0,22470,0,0,0,0,0,1614,206247,203286,300526,101643,1423002,0,0,0.162,1825170
86,2082,0,54830,157604,0,0,0,0,0,0,0,0,212434,209385,260722,104692,1465692,0,0,0.183,1831106
87,2083,0,56475,162332,0,0,0,0,0,0,0,0,218807,215666,217283,107833,1509662,0,0,0.217,1834778
88,2084,0,58169,167202,0,0,0,0,0,0,0,0,225371,222136,169978,111068,1554952,0,0,0.268,1835998
89,2085,0,59914,172218,0,0,0,0,0,0,0,0,232132,228800,118562,114400,1601601,0,0,0.353,1834563
90,2086,0,61712,177384,0,0,0,0,0,0,0,0,239096,235664,62779,117832,1649649,0,0,0.522,1830260
